date;closes_alior;daily_returns_alior;daily_log_returns_alior;closes_ing;daily_returns_ing;daily_log_returns_ing
05/02/2023;34.51;-0.020437;-0.020649;144.38;-0.006879;-0.006902
06/02/2023;33.79;-0.020864;-0.021084;143.38;-0.006926;-0.006950
07/02/2023;33.73;-0.001776;-0.001777;138.36;-0.035012;-0.035639
08/02/2023;34.22;0.014527;0.014423;139.86;0.010841;0.010783
09/02/2023;34.35;0.003799;0.003792;140.53;0.004791;0.004779
10/02/2023;35.47;0.032606;0.032085;143.88;0.023838;0.023559
11/02/2023;34.63;-0.023682;-0.023967;141.2;-0.018627;-0.018802
12/02/2023;34.3;-0.009529;-0.009575;140.2;-0.007082;-0.007107
13/02/2023;34.1;-0.005831;-0.005848;140.115;-0.000606;-0.000606
14/02/2023;33.9;-0.005865;-0.005882;140.03;-0.000607;-0.000607
15/02/2023;33.47;-0.012684;-0.012765;136.52;-0.025066;-0.025386
16/02/2023;33.715;0.007320;0.007293;137.775;0.009193;0.009151
17/02/2023;33.96;0.007267;0.007241;139.03;0.009109;0.009068
18/02/2023;34.53;0.016784;0.016645;138.86;-0.001223;-0.001224
19/02/2023;34.61;0.002317;0.002314;140.7;0.013251;0.013164
20/02/2023;35.3;0.019936;0.019740;142.87;0.015423;0.015305
21/02/2023;34.99;-0.008782;-0.008821;144.38;0.010569;0.010514
22/02/2023;34.42;-0.016290;-0.016425;139.53;-0.033592;-0.034169
23/02/2023;34.34;-0.002324;-0.002327;142.37;0.020354;0.020150
24/02/2023;34.765;0.012376;0.012300;144.38;0.014118;0.014019
25/02/2023;35.19;0.012225;0.012151;146.39;0.013922;0.013826
26/02/2023;35.66;0.013356;0.013268;146.39;0.000000;0.000000
27/02/2023;35.975;0.008833;0.008795;145.805;-0.003996;-0.004004
28/02/2023;36.29;0.008756;0.008718;145.22;-0.004012;-0.004020
01/03/2023;35.64;-0.017911;-0.018074;146.39;0.008057;0.008024
02/03/2023;34.2;-0.040404;-0.041243;143.88;-0.017146;-0.017295
03/03/2023;33.47;-0.021345;-0.021576;137.52;-0.044204;-0.045210
04/03/2023;33.92;0.013445;0.013355;138.86;0.009744;0.009697
05/03/2023;32.06;-0.054835;-0.056396;132.5;-0.045802;-0.046884
06/03/2023;31.87;-0.005926;-0.005944;132;-0.003774;-0.003781
07/03/2023;30.885;-0.030907;-0.031394;132.585;0.004432;0.004422
08/03/2023;29.9;-0.031893;-0.032412;133.17;0.004412;0.004403
09/03/2023;29.49;-0.013712;-0.013807;132.5;-0.005031;-0.005044
10/03/2023;29.825;0.011360;0.011296;133.17;0.005057;0.005044
11/03/2023;30.16;0.011232;0.011170;133.84;0.005031;0.005019
12/03/2023;29.81;-0.011605;-0.011673;131.33;-0.018754;-0.018932
13/03/2023;29.96;0.005032;0.005019;133.84;0.019112;0.018932
14/03/2023;29.65;-0.010347;-0.010401;132.33;-0.011282;-0.011346
15/03/2023;31.03;0.046543;0.045492;134.68;0.017759;0.017603
16/03/2023;32.04;0.032549;0.032031;134.34;-0.002525;-0.002528
17/03/2023;32.89;0.026529;0.026184;131.83;-0.018684;-0.018861
18/03/2023;33.21;0.009729;0.009682;133.585;0.013313;0.013225
19/03/2023;33.53;0.009636;0.009590;135.34;0.013138;0.013052
20/03/2023;33.68;0.004474;0.004464;137.19;0.013669;0.013577
21/03/2023;33.92;0.007126;0.007101;139.28;0.015234;0.015119
22/03/2023;34.16;0.007075;0.007051;141.37;0.015006;0.014894
23/03/2023;34.97;0.023712;0.023435;140.03;-0.009479;-0.009524
24/03/2023;33.85;-0.032027;-0.032552;138.69;-0.009569;-0.009615
25/03/2023;34.01;0.004727;0.004716;136.35;-0.016872;-0.017016
26/03/2023;35.69;0.049397;0.048216;142.04;0.041731;0.040884
27/03/2023;36.77;0.030261;0.029812;140.03;-0.014151;-0.014252
28/03/2023;38.46;0.045961;0.044936;139.36;-0.004785;-0.004796
29/03/2023;38.83;0.009620;0.009574;138.69;-0.004808;-0.004819
30/03/2023;39.2;0.009529;0.009484;138.02;-0.004831;-0.004843
31/03/2023;39.48;0.007143;0.007117;138.86;0.006086;0.006068
01/04/2023;39.405;-0.001900;-0.001902;139.28;0.003025;0.003020
02/04/2023;39.33;-0.001903;-0.001905;139.7;0.003016;0.003011
03/04/2023;39.07;-0.006611;-0.006633;138.52;-0.008447;-0.008483
04/04/2023;39.19;0.003071;0.003067;138.36;-0.001155;-0.001156
05/04/2023;39.75;0.014289;0.014188;135.85;-0.018141;-0.018308
06/04/2023;39.15;-0.015094;-0.015209;135.85;0.000000;0.000000
07/04/2023;38.8;-0.008940;-0.008980;134.68;-0.008612;-0.008650
08/04/2023;37.9;-0.023196;-0.023469;133.84;-0.006237;-0.006257
09/04/2023;38.38;0.012665;0.012585;133.42;-0.003138;-0.003143
10/04/2023;38.86;0.012507;0.012429;133;-0.003148;-0.003153
11/04/2023;37.73;-0.029079;-0.029510;132.5;-0.003759;-0.003766
12/04/2023;37.48;-0.006626;-0.006648;133.17;0.005057;0.005044
13/04/2023;37.23;-0.006670;-0.006693;133.84;0.005031;0.005019
14/04/2023;36.19;-0.027934;-0.028332;131;-0.021219;-0.021448
15/04/2023;36.79;0.016579;0.016443;134.17;0.024198;0.023910
16/04/2023;36.81;0.000544;0.000543;138.86;0.034956;0.034359
17/04/2023;36.51;-0.008150;-0.008183;144.55;0.040977;0.040159
18/04/2023;37.22;0.019447;0.019260;146.39;0.012729;0.012649
19/04/2023;37.18;-0.001075;-0.001075;141.37;-0.034292;-0.034894
20/04/2023;37.455;0.007396;0.007369;139.695;-0.011848;-0.011919
21/04/2023;37.73;0.007342;0.007315;138.02;-0.011990;-0.012063
22/04/2023;36.7;-0.027299;-0.027679;138.19;0.001232;0.001231
23/04/2023;36.735;0.000954;0.000953;138.86;0.004848;0.004837
24/04/2023;36.77;0.000953;0.000952;139.53;0.004825;0.004813
25/04/2023;36.45;-0.008703;-0.008741;143.38;0.027593;0.027219
26/04/2023;36.86;0.011248;0.011185;141.03;-0.016390;-0.016526
27/04/2023;37.9;0.028215;0.027824;143.71;0.019003;0.018825
28/04/2023;38.16;0.006860;0.006837;146.89;0.022128;0.021887
29/04/2023;38.45;0.007600;0.007571;148.9;0.013684;0.013591
30/04/2023;37.18;-0.033030;-0.033588;142.37;-0.043855;-0.044846
01/05/2023;37.51;0.008876;0.008837;142.285;-0.000597;-0.000597
02/05/2023;37.84;0.008798;0.008759;142.2;-0.000597;-0.000598
03/05/2023;38.49;0.017178;0.017032;142.71;0.003586;0.003580
04/05/2023;38.195;-0.007664;-0.007694;141.62;-0.007638;-0.007667
05/05/2023;37.9;-0.007724;-0.007754;140.53;-0.007697;-0.007726
06/05/2023;36.87;-0.027177;-0.027553;140.7;0.001210;0.001209
07/05/2023;35.14;-0.046922;-0.048058;136.68;-0.028571;-0.028988
08/05/2023;36.15;0.028742;0.028337;139.53;0.020852;0.020637
09/05/2023;38.67;0.069710;0.067387;143.04;0.025156;0.024845
10/05/2023;38.67;0.000000;0.000000;140.87;-0.015171;-0.015287
11/05/2023;40.38;0.044220;0.043271;141.37;0.003549;0.003543
12/05/2023;39.79;-0.014611;-0.014719;141.37;0.000000;0.000000
13/05/2023;39.2;-0.014828;-0.014939;141.37;0.000000;0.000000
14/05/2023;39.6;0.010204;0.010152;141.03;-0.002405;-0.002408
15/05/2023;39.115;-0.012247;-0.012323;141.45;0.002978;0.002974
16/05/2023;38.63;-0.012399;-0.012477;141.87;0.002969;0.002965
17/05/2023;37.73;-0.023298;-0.023574;138.02;-0.027138;-0.027513
18/05/2023;39.31;0.041876;0.041023;141.37;0.024272;0.023982
19/05/2023;39.51;0.005088;0.005075;145.38;0.028365;0.027970
20/05/2023;39.92;0.010377;0.010324;146.89;0.010387;0.010333
21/05/2023;40.05;0.003257;0.003251;151.24;0.029614;0.029184
22/05/2023;39.87;-0.004494;-0.004505;152.74;0.009918;0.009869
23/05/2023;40.425;0.013920;0.013824;152.075;-0.004354;-0.004363
24/05/2023;40.98;0.013729;0.013636;151.41;-0.004373;-0.004382
25/05/2023;40.87;-0.002684;-0.002688;150.07;-0.008850;-0.008890
26/05/2023;40.125;-0.018229;-0.018397;147.39;-0.017858;-0.018020
27/05/2023;39.38;-0.018567;-0.018742;144.71;-0.018183;-0.018350
28/05/2023;41.14;0.044693;0.043723;150.57;0.040495;0.039696
29/05/2023;40.87;-0.006563;-0.006585;148.56;-0.013349;-0.013439
30/05/2023;41.12;0.006117;0.006098;147.73;-0.005587;-0.005603
31/05/2023;41.13;0.000243;0.000243;152.91;0.035064;0.034463
01/06/2023;42.04;0.022125;0.021884;156.76;0.025178;0.024866
02/06/2023;42.855;0.019386;0.019201;154.585;-0.013875;-0.013972
03/06/2023;43.67;0.019018;0.018839;152.41;-0.014070;-0.014170
04/06/2023;43.03;-0.014655;-0.014764;155.42;0.019749;0.019557
05/06/2023;42.38;-0.015106;-0.015221;155.085;-0.002155;-0.002158
06/06/2023;41.73;-0.015337;-0.015456;154.75;-0.002160;-0.002162
07/06/2023;42.35;0.014857;0.014748;153.75;-0.006462;-0.006483
08/06/2023;42.735;0.009091;0.009050;153.83;0.000520;0.000520
09/06/2023;43.12;0.009009;0.008969;153.91;0.000520;0.000520
10/06/2023;43.99;0.020176;0.019975;158.93;0.032616;0.032096
11/06/2023;44.36;0.008411;0.008376;159.77;0.005285;0.005271
12/06/2023;44.73;0.008341;0.008306;160.61;0.005258;0.005244
13/06/2023;46.77;0.045607;0.044598;169.39;0.054667;0.053225
14/06/2023;47.55;0.016677;0.016540;165.96;-0.020249;-0.020457
15/06/2023;47.57;0.000421;0.000421;168.97;0.018137;0.017974
16/06/2023;48.18;0.012823;0.012742;168.97;0.000000;0.000000
17/06/2023;49.11;0.019303;0.019119;169.39;0.002486;0.002483
18/06/2023;49.675;0.011505;0.011439;168.765;-0.003690;-0.003697
19/06/2023;50.24;0.011374;0.011310;168.14;-0.003703;-0.003710
20/06/2023;49.9;-0.006768;-0.006791;168.97;0.004936;0.004924
21/06/2023;49.42;-0.009619;-0.009666;169.18;0.001243;0.001242
22/06/2023;48.94;-0.009713;-0.009760;169.39;0.001241;0.001241
23/06/2023;50.04;0.022477;0.022228;167.3;-0.012338;-0.012415
24/06/2023;49.72;-0.006395;-0.006415;168.55;0.007472;0.007444
25/06/2023;49.17;-0.011062;-0.011124;165.96;-0.015366;-0.015486
26/06/2023;50.59;0.028879;0.028470;164.79;-0.007050;-0.007075
27/06/2023;50.57;-0.000395;-0.000395;163.12;-0.010134;-0.010186
28/06/2023;50.45;-0.002373;-0.002376;167.13;0.024583;0.024286
29/06/2023;50.26;-0.003766;-0.003773;165.54;-0.009514;-0.009559
30/06/2023;50.07;-0.003780;-0.003788;163.95;-0.009605;-0.009651
01/07/2023;49.98;-0.001797;-0.001799;159.94;-0.024459;-0.024763
02/07/2023;50.025;0.000900;0.000900;163.37;0.021446;0.021219
03/07/2023;50.07;0.000900;0.000899;166.8;0.020995;0.020778
04/07/2023;51.6;0.030557;0.030100;167.3;0.002998;0.002993
05/07/2023;50.99;-0.011822;-0.011892;163.12;-0.024985;-0.025302
06/07/2023;48.54;-0.048049;-0.049241;158.1;-0.030775;-0.031258
07/07/2023;49.53;0.020396;0.020190;158.1;0.000000;0.000000
08/07/2023;51.62;0.042197;0.041331;159.77;0.010563;0.010508
09/07/2023;51.15;-0.009105;-0.009147;162.45;0.016774;0.016635
10/07/2023;50.66;-0.009580;-0.009626;165.085;0.016220;0.016090
11/07/2023;50.17;-0.009672;-0.009719;167.72;0.015961;0.015835
12/07/2023;48.42;-0.034881;-0.035504;166.46;-0.007513;-0.007541
13/07/2023;47.47;-0.019620;-0.019815;165.29;-0.007029;-0.007054
14/07/2023;46.52;-0.020013;-0.020216;164.12;-0.007078;-0.007104
15/07/2023;47.81;0.027730;0.027352;162.61;-0.009201;-0.009243
16/07/2023;47.845;0.000732;0.000732;164.955;0.014421;0.014318
17/07/2023;47.88;0.000732;0.000731;167.3;0.014216;0.014116
18/07/2023;46.91;-0.020259;-0.020467;161.95;-0.031978;-0.032501
19/07/2023;46.52;-0.008314;-0.008349;157.93;-0.024822;-0.025136
20/07/2023;46.445;-0.001612;-0.001614;158.85;0.005825;0.005808
21/07/2023;46.37;-0.001615;-0.001616;159.77;0.005792;0.005775
22/07/2023;45.57;-0.017253;-0.017403;155.59;-0.026163;-0.026511
23/07/2023;47.55;0.043450;0.042532;159.77;0.026865;0.026511
24/07/2023;48.4;0.017876;0.017718;161.78;0.012581;0.012502
25/07/2023;48.755;0.007335;0.007308;161.61;-0.001051;-0.001051
26/07/2023;49.11;0.007281;0.007255;161.44;-0.001052;-0.001052
27/07/2023;48.84;-0.005498;-0.005513;163.62;0.013503;0.013413
28/07/2023;48.56;-0.005733;-0.005750;162.365;-0.007670;-0.007700
29/07/2023;48.28;-0.005766;-0.005783;161.11;-0.007729;-0.007760
30/07/2023;46.94;-0.027755;-0.028147;158.93;-0.013531;-0.013624
31/07/2023;46.94;0.000000;0.000000;157.26;-0.010508;-0.010563
01/08/2023;44.68;-0.048147;-0.049344;155.59;-0.010619;-0.010676
02/08/2023;42.63;-0.045882;-0.046968;158.93;0.021467;0.021240
03/08/2023;43.21;0.013605;0.013514;163.95;0.031586;0.031098
04/08/2023;43.27;0.001389;0.001388;162.61;-0.008173;-0.008207
05/08/2023;43.465;0.004507;0.004496;159.935;-0.016450;-0.016587
06/08/2023;43.66;0.004486;0.004476;157.26;-0.016726;-0.016867
07/08/2023;44.33;0.015346;0.015229;162.28;0.031922;0.031423
08/08/2023;44.68;0.007895;0.007864;162.28;0.000000;0.000000
09/08/2023;45.03;0.007833;0.007803;162.28;0.000000;0.000000
10/08/2023;44.91;-0.002665;-0.002668;161.11;-0.007210;-0.007236
11/08/2023;43.35;-0.034736;-0.035354;159.77;-0.008317;-0.008352
12/08/2023;43.43;0.001845;0.001844;161.28;0.009451;0.009407
13/08/2023;45.03;0.036841;0.036178;159.77;-0.009363;-0.009407
14/08/2023;43.92;-0.024650;-0.024959;155.09;-0.029292;-0.029730
15/08/2023;43.31;-0.013889;-0.013986;153.58;-0.009736;-0.009784
16/08/2023;43.04;-0.006234;-0.006254;153.33;-0.001628;-0.001629
17/08/2023;42.77;-0.006273;-0.006293;153.08;-0.001630;-0.001632
18/08/2023;43.38;0.014262;0.014162;155.25;0.014176;0.014076
19/08/2023;42.79;-0.013601;-0.013694;152.075;-0.020451;-0.020663
20/08/2023;42.2;-0.013788;-0.013884;148.9;-0.020878;-0.021099
21/08/2023;43.12;0.021801;0.021567;148.73;-0.001142;-0.001142
22/08/2023;45.03;0.044295;0.043342;150.57;0.012371;0.012296
23/08/2023;43.76;-0.028203;-0.028609;144.71;-0.038919;-0.039696
24/08/2023;43.03;-0.016682;-0.016823;147.22;0.017345;0.017196
25/08/2023;45.64;0.060655;0.058887;150.07;0.019359;0.019174
26/08/2023;45.93;0.006354;0.006334;148.9;-0.007796;-0.007827
27/08/2023;47.19;0.027433;0.027064;149.485;0.003929;0.003921
28/08/2023;48.45;0.026701;0.026350;150.07;0.003913;0.003906
29/08/2023;50.7;0.046440;0.045394;156.43;0.042380;0.041507
30/08/2023;50.725;0.000493;0.000493;157.265;0.005338;0.005324
31/08/2023;50.75;0.000493;0.000493;158.1;0.005310;0.005295
01/09/2023;52.73;0.039015;0.038273;159.77;0.010563;0.010508
02/09/2023;52.02;-0.013465;-0.013556;160.27;0.003129;0.003125
03/09/2023;52.68;0.012687;0.012608;161.78;0.009422;0.009377
04/09/2023;54.33;0.031321;0.030841;172.74;0.067746;0.065550
05/09/2023;54.94;0.011228;0.011165;175.66;0.016904;0.016763
06/09/2023;54.16;-0.014197;-0.014299;176.92;0.007173;0.007147
07/09/2023;54.03;-0.002400;-0.002403;174.62;-0.013000;-0.013085
08/09/2023;53.9;-0.002406;-0.002409;172.32;-0.013171;-0.013259
09/09/2023;53.79;-0.002041;-0.002043;169.39;-0.017003;-0.017149
10/09/2023;53.73;-0.001115;-0.001116;170.435;0.006169;0.006150
11/09/2023;53.67;-0.001117;-0.001117;171.48;0.006131;0.006113
12/09/2023;55.63;0.036519;0.035868;173.99;0.014637;0.014531
13/09/2023;56.33;0.012583;0.012505;173.99;0.000000;0.000000
14/09/2023;57.37;0.018463;0.018294;175.25;0.007242;0.007216
15/09/2023;56.59;-0.013596;-0.013689;171.48;-0.021512;-0.021747
16/09/2023;56.93;0.006008;0.005990;175.035;0.020731;0.020519
17/09/2023;57.27;0.005972;0.005954;178.59;0.020310;0.020107
18/09/2023;57.53;0.004540;0.004530;182.77;0.023406;0.023136
19/09/2023;57.51;-0.000348;-0.000348;184.03;0.006894;0.006870
20/09/2023;57.795;0.004956;0.004943;188.63;0.024996;0.024689
21/09/2023;58.08;0.004931;0.004919;193.23;0.024386;0.024094
22/09/2023;59.2;0.019284;0.019100;198.67;0.028153;0.027764
23/09/2023;59.375;0.002956;0.002952;195.325;-0.016837;-0.016980
24/09/2023;59.55;0.002947;0.002943;191.98;-0.017125;-0.017274
25/09/2023;59.82;0.004534;0.004524;195.74;0.019585;0.019396
26/09/2023;60.52;0.011702;0.011634;200.76;0.025646;0.025323
27/09/2023;59.41;-0.018341;-0.018511;199.09;-0.008318;-0.008353
28/09/2023;60.19;0.013129;0.013044;191.14;-0.039932;-0.040751
29/09/2023;62.54;0.039043;0.038300;199.09;0.041593;0.040751
30/09/2023;62.1;-0.007035;-0.007060;192.81;-0.031544;-0.032052
01/10/2023;62.265;0.002657;0.002653;195.95;0.016285;0.016154
02/10/2023;62.43;0.002650;0.002646;199.09;0.016024;0.015897
03/10/2023;63.18;0.012013;0.011942;199.92;0.004169;0.004160
04/10/2023;64.24;0.016777;0.016638;201.595;0.008378;0.008343
05/10/2023;65.3;0.016501;0.016366;203.27;0.008309;0.008274
06/10/2023;63.89;-0.021593;-0.021829;202.01;-0.006199;-0.006218
07/10/2023;64.48;0.009235;0.009192;204.94;0.014504;0.014400
08/10/2023;64.66;0.002792;0.002788;204.94;0.000000;0.000000
09/10/2023;64.64;-0.000309;-0.000309;204.94;0.000000;0.000000
10/10/2023;63.68;-0.014851;-0.014963;204.1;-0.004099;-0.004107
11/10/2023;66.29;0.040986;0.040169;209.12;0.024596;0.024298
12/10/2023;66.785;0.007467;0.007439;206.195;-0.013987;-0.014086
13/10/2023;67.28;0.007412;0.007385;203.27;-0.014186;-0.014287
14/10/2023;67.09;-0.002824;-0.002828;202.43;-0.004132;-0.004141
15/10/2023;67.88;0.011775;0.011706;205.36;0.014474;0.014370
16/10/2023;68.67;0.011638;0.011571;208.29;0.014268;0.014167
17/10/2023;67.37;-0.018931;-0.019113;208.29;0.000000;0.000000
18/10/2023;66.76;-0.009054;-0.009096;213.72;0.026069;0.025735
19/10/2023;66.85;0.001348;0.001347;220.83;0.033268;0.032726
20/10/2023;66.59;-0.003889;-0.003897;220;-0.003759;-0.003766
21/10/2023;67.11;0.007809;0.007779;221.67;0.007591;0.007562
22/10/2023;66.62;-0.007301;-0.007328;227.94;0.028285;0.027893
23/10/2023;66.245;-0.005629;-0.005645;224.18;-0.016496;-0.016633
24/10/2023;65.87;-0.005661;-0.005677;220.42;-0.016772;-0.016914
25/10/2023;65.98;0.001670;0.001669;222.09;0.007576;0.007548
26/10/2023;65.725;-0.003865;-0.003872;221.67;-0.001891;-0.001893
27/10/2023;65.47;-0.003880;-0.003887;221.25;-0.001895;-0.001897
28/10/2023;65.27;-0.003055;-0.003060;216.23;-0.022689;-0.022951
29/10/2023;65.46;0.002911;0.002907;220.83;0.021274;0.021051
30/10/2023;67.98;0.038497;0.037774;225.02;0.018974;0.018796
31/10/2023;66.67;-0.019270;-0.019458;221.67;-0.014888;-0.014999
01/11/2023;66.33;-0.005100;-0.005113;218.74;-0.013218;-0.013306
02/11/2023;66.93;0.009046;0.009005;218.33;-0.001874;-0.001876
03/11/2023;67.175;0.003661;0.003654;219.165;0.003824;0.003817
04/11/2023;67.42;0.003647;0.003641;220;0.003810;0.003803
05/11/2023;66.76;-0.009789;-0.009838;215.82;-0.019000;-0.019183
06/11/2023;66.56;-0.002996;-0.003000;214.98;-0.003892;-0.003900
07/11/2023;66.36;-0.003005;-0.003009;214.14;-0.003907;-0.003915
08/11/2023;63.46;-0.043701;-0.044685;211.63;-0.011721;-0.011791
09/11/2023;64.92;0.023007;0.022746;215.4;0.017814;0.017657
10/11/2023;64.48;-0.006778;-0.006801;215.82;0.001950;0.001948
11/11/2023;64.76;0.004342;0.004333;207.45;-0.038782;-0.039554
12/11/2023;65.53;0.011890;0.011820;209.96;0.012099;0.012027
13/11/2023;65.23;-0.004578;-0.004589;214.98;0.023909;0.023628
14/11/2023;64.485;-0.011421;-0.011487;216.655;0.007791;0.007761
15/11/2023;63.74;-0.011553;-0.011620;218.33;0.007731;0.007701
16/11/2023;61.21;-0.039693;-0.040502;215.82;-0.011496;-0.011563
17/11/2023;61.68;0.007678;0.007649;215.82;0.000000;0.000000
18/11/2023;62.15;0.007620;0.007591;215.82;0.000000;0.000000
19/11/2023;61.3;-0.013677;-0.013771;207.87;-0.036836;-0.037532
20/11/2023;61.28;-0.000326;-0.000326;209.12;0.006013;0.005995
21/11/2023;59.88;-0.022846;-0.023111;206.61;-0.012003;-0.012075
22/11/2023;61.74;0.031062;0.030589;206.61;0.000000;0.000000
23/11/2023;60.69;-0.017007;-0.017153;209.96;0.016214;0.016084
24/11/2023;61.63;0.015489;0.015370;210.8;0.004001;0.003993
25/11/2023;61.45;-0.002921;-0.002925;210.38;-0.001992;-0.001994
26/11/2023;61.27;-0.002929;-0.002934;209.96;-0.001996;-0.001998
27/11/2023;62.21;0.015342;0.015225;211.63;0.007954;0.007922
28/11/2023;62.4;0.003054;0.003050;214.35;0.012853;0.012771
29/11/2023;62.59;0.003045;0.003040;217.07;0.012690;0.012610
30/11/2023;63.2;0.009746;0.009699;215.82;-0.005759;-0.005775
01/12/2023;62.47;-0.011551;-0.011618;209.12;-0.031044;-0.031536
02/12/2023;63.61;0.018249;0.018084;214.98;0.028022;0.027637
03/12/2023;65.58;0.030970;0.030500;210.8;-0.019444;-0.019635
04/12/2023;65.82;0.003660;0.003653;238.4;0.130930;0.123040
05/12/2023;68.26;0.037071;0.036400;240.91;0.010529;0.010473
06/12/2023;67.875;-0.005640;-0.005656;238.19;-0.011291;-0.011355
07/12/2023;67.49;-0.005672;-0.005688;235.47;-0.011419;-0.011485
08/12/2023;67.58;0.001334;0.001333;242.16;0.028411;0.028015
09/12/2023;67.77;0.002811;0.002808;239.655;-0.010344;-0.010398
10/12/2023;67.96;0.002804;0.002800;237.15;-0.010453;-0.010508
11/12/2023;66.8;-0.017069;-0.017216;228.78;-0.035294;-0.035932
12/12/2023;66.66;-0.002096;-0.002098;230.04;0.005507;0.005492
13/12/2023;67.54;0.013201;0.013115;235.06;0.021822;0.021588
14/12/2023;67.37;-0.002517;-0.002520;229.2;-0.024930;-0.025246
15/12/2023;70.36;0.044382;0.043425;233.38;0.018237;0.018073
16/12/2023;70.64;0.003980;0.003972;232.55;-0.003556;-0.003563
17/12/2023;71.325;0.009697;0.009650;234.22;0.007181;0.007156
18/12/2023;72.01;0.009604;0.009558;235.89;0.007130;0.007105
19/12/2023;71.8;-0.002916;-0.002921;240.49;0.019501;0.019313
20/12/2023;72.775;0.013579;0.013488;242.375;0.007838;0.007808
21/12/2023;73.75;0.013397;0.013309;244.26;0.007777;0.007747
22/12/2023;74.04;0.003932;0.003924;246.77;0.010276;0.010223
23/12/2023;76.06;0.027283;0.026917;247.6;0.003363;0.003358
24/12/2023;76.76;0.009203;0.009161;253.04;0.021971;0.021733
25/12/2023;77.37;0.007947;0.007915;255.13;0.008260;0.008226
26/12/2023;76.22;-0.014864;-0.014975;259.31;0.016384;0.016251
27/12/2023;77.89;0.021910;0.021674;255.97;-0.012880;-0.012964
28/12/2023;80.625;0.035114;0.034511;258.895;0.011427;0.011362
29/12/2023;83.36;0.033922;0.033360;261.82;0.011298;0.011235
30/12/2023;82.42;-0.011276;-0.011340;260.57;-0.004774;-0.004786
31/12/2023;81.98;-0.005339;-0.005353;257.43;-0.012051;-0.012124
01/01/2024;81.54;-0.005367;-0.005382;254.29;-0.012197;-0.012272
02/01/2024;79.12;-0.029679;-0.030128;253.88;-0.001612;-0.001614
03/01/2024;77.97;-0.014535;-0.014642;254.71;0.003269;0.003264
04/01/2024;77.625;-0.004425;-0.004435;256.385;0.006576;0.006555
05/01/2024;77.28;-0.004444;-0.004454;258.06;0.006533;0.006512
06/01/2024;78.44;0.015010;0.014899;257.22;-0.003255;-0.003260
07/01/2024;79.09;0.008287;0.008252;262.66;0.021149;0.020929
08/01/2024;83.26;0.052725;0.051382;261.82;-0.003198;-0.003203
09/01/2024;83.45;0.002282;0.002279;263.5;0.006417;0.006396
10/01/2024;83.005;-0.005333;-0.005347;264.755;0.004763;0.004752
11/01/2024;82.56;-0.005361;-0.005376;266.01;0.004740;0.004729
12/01/2024;83.92;0.016473;0.016339;272.28;0.023571;0.023297
13/01/2024;83.095;-0.009831;-0.009879;268.515;-0.013828;-0.013924
